Date,Open,High,Low,Close,Volume,Open.Interest
30-01-2018 09:49:00,11079.9,11083.8,11079.9,11083.8,35700,25795125
30-01-2018 09:50:00,11083.8,11086.8,11083.7,11084,35850,25776825
30-01-2018 09:51:00,11083.7,11085,11078,11078,26700,25776825
30-01-2018 09:52:00,11078,11081,11074.55,11081,22050,25776825
30-01-2018 09:53:00,11079.15,11079.9,11075.5,11077.6,17925,25786725
30-01-2018 09:54:00,11078.8,11079,11075,11076.25,25275,25786725
30-01-2018 09:55:00,11078,11083.4,11076.8,11083.4,20850,25786725
30-01-2018 09:56:00,11083.4,11085,11078.45,11080,38925,25808775
30-01-2018 09:57:00,11080,11080,11077.05,11077.5,11700,25808775
30-01-2018 09:58:00,11079,11080.8,11075.95,11077.8,18300,25808775
30-01-2018 09:59:00,11076.2,11077.8,11075,11076.15,19200,25828650
30-01-2018 10:00:00,11076.15,11079.4,11075.25,11075.85,13575,25828650
30-01-2018 10:01:00,11077.75,11077.75,11072.9,11072.9,23775,25828650
30-01-2018 10:02:00,11074.3,11074.4,11071,11071.15,25725,25841550
30-01-2018 10:03:00,11070.35,11070.6,11053.15,11062.25,301275,25841550
30-01-2018 10:04:00,11062.45,11068,11061,11065,37800,25841550
30-01-2018 10:05:00,11065.9,11067.3,11063.1,11064.9,26475,25878975
30-01-2018 10:06:00,11062.9,11065.55,11062.35,11064.9,24150,25878975
30-01-2018 10:07:00,11064.75,11068,11063,11067.4,18225,25878975
30-01-2018 10:08:00,11067.4,11073.95,11065.05,11073.9,32400,25890750
30-01-2018 10:09:00,11074,11074.85,11066.45,11066.9,34500,25890750
30-01-2018 10:10:00,11065.95,11070,11065.2,11069.95,34200,25890750
30-01-2018 10:11:00,11069.9,11074.2,11069.85,11072.45,26850,25926825
30-01-2018 10:12:00,11073,11073,11068.2,11070.5,20400,25926825
30-01-2018 10:13:00,11070.25,11072,11069,11070.5,46275,25926825
30-01-2018 10:14:00,11071.4,11077.7,11071.05,11077.7,32925,25955250
30-01-2018 10:15:00,11076.85,11077.7,11071.55,11074.15,31350,25955250
30-01-2018 10:16:00,11074.1,11074.1,11072,11072.6,15900,25955250
30-01-2018 10:17:00,11072.55,11072.75,11068,11069,26325,25967400
30-01-2018 10:18:00,11069,11077.85,11069,11074.9,37200,25967400
30-01-2018 10:19:00,11074,11077.35,11073,11075.35,15675,25967400
30-01-2018 10:20:00,11075.35,11078.8,11072.9,11078,11250,25959825
30-01-2018 10:21:00,11078,11079,11076.5,11076.5,9600,25959825
30-01-2018 10:22:00,11076.55,11079.9,11076.55,11079.75,10875,25959825
30-01-2018 10:23:00,11079.75,11081,11077.85,11079.95,40950,25972050
30-01-2018 10:24:00,11080,11081.9,11077.6,11078,21525,25972050
30-01-2018 10:25:00,11078,11086.05,11077.05,11078.9,58875,25972050
30-01-2018 10:26:00,11078.9,11083,11076.9,11081.95,24900,25998675
30-01-2018 10:27:00,11082,11084.15,11080.45,11082.55,12300,25998675
30-01-2018 10:28:00,11082.05,11084.15,11081,11082.9,17100,25998675
30-01-2018 10:29:00,11082.7,11083,11082,11083,6750,26007225
30-01-2018 10:30:00,11084,11086.05,11081,11083.9,19875,26007225
30-01-2018 10:31:00,11083.9,11083.9,11078.15,11080,18450,26007225
30-01-2018 10:32:00,11081,11082.9,11079.8,11080,9150,26013375
30-01-2018 10:33:00,11080,11080,11075.05,11076,16875,26013375
30-01-2018 10:34:00,11076,11077.8,11073.5,11073.95,25725,26013375
30-01-2018 10:35:00,11073.9,11074.65,11071.7,11073.1,13800,26013675
