1728,stox,Stox,40:27.6,STX
1729,maecenas,Maecenas,40:27.6,ART
1730,okcash,Okcash,40:27.6,OK
1731,neoscoin,Neoscoin,40:27.6,NEOS
1732,radium,Radium,40:27.6,RADS
1733,blockmason,Blockmason,40:27.6,BCPT
1734,rialto,Rialto,40:27.6,XRL
1735,monetaryunit,Monetaryunit,40:27.6,MUE
1736,omni,Omni,40:27.6,OMNI
1737,nexium,Nexium,40:27.6,NXC
1738,bounty0x,Bounty0x,40:27.6,BNTY
1739,asiacoin,Asiacoin,40:27.6,AC
1740,open-trading-network,Open Trading Network,40:27.6,OTN
1741,credo,Credo,40:27.6,CREDO
1742,ethereum-blue,Ethereum Blue,40:27.6,BLUE
1743,alqo,Alqo,40:27.6,ALQO
1744,target-coin,Target Coin,40:27.6,TGT
1745,rubycoin,Rubycoin,40:27.6,RBY
1746,atbcoin,Atbcoin,40:27.6,ATB
1747,hedge,Hedge,40:27.6,HDG
1748,patientory,Patientory,40:27.6,PTOY
1749,investfeed,Investfeed,40:27.6,IFT
1750,bismuth,Bismuth,40:27.6,BIS
1751,databits,Databits,40:27.6,DTB
1752,alis,Alis,40:27.6,ALIS
1753,oax,Oax,40:27.6,OAX
1754,xenon,Xenon,40:27.6,XNN
1755,aeron,Aeron,40:27.7,ARN
1756,bcap,Bcap,40:27.7,BCAP
1757,colossuscoinxt,Colossuscoinxt,40:27.7,COLX
1758,steem-dollars,Steem Dollars,40:27.7,SBD
1759,kickico,Kickico,40:27.7,KICK
1760,change,Change,40:27.7,CAG
1761,verify,Verify,40:27.7,CRED
1762,life,Life,40:27.7,LIFE
1763,posw-coin,Posw Coin,40:27.7,POSW
1764,mybit-token,Mybit Token,40:27.7,MYB
1765,paragon,Paragon,40:27.7,PRG
1766,florincoin,Florincoin,40:27.7,FLO
1767,playkey,Playkey,40:27.7,PKT
1768,blackmoon-crypto,Blackmoon Crypto,40:27.7,BMC
1769,incent,Incent,40:27.7,INCNT
1770,lomocoin,Lomocoin,40:27.7,LMC
1771,energycoin,Energycoin,40:27.7,ENRG
1772,swarm-city,Swarm City,40:27.7,SWT
1773,elixir,Elixir,40:27.7,ELIX
1774,bitcrystals,Bitcrystals,40:27.7,BCY
1775,linda,Linda,40:27.7,LINDA
1776,decent-bet,Decent Bet,40:27.7,DBET
1777,blockcat,Blockcat,40:27.7,CAT
1778,fedoracoin,Fedoracoin,40:27.7,TIPS
1779,foldingcoin,Foldingcoin,40:27.7,FLDC
1780,obsidian,Obsidian,40:27.7,ODN
1781,clams,Clams,40:27.7,CLAM
1782,circuits-of-value,Circuits Of Value,40:27.7,COVAL
1783,global-currency-reserve,Global Currency Reserve,40:27.7,GCR
1784,mintcoin,Mintcoin,40:27.7,MINT
1785,soarcoin,Soarcoin,40:27.7,SOAR
1786,luxcoin,Luxcoin,40:27.7,LUX
1787,musicoin,Musicoin,40:27.7,MUSIC
1788,heat-ledger,Heat Ledger,40:27.7,HEAT
1789,monacocoin,Monacocoin,40:27.7,XMCC
1790,ongsocial,Ongsocial,40:27.7,ONG
1791,internet-of-people,Internet Of People,40:27.7,IOP
1792,icos,Icos,40:27.7,ICOS
1793,gobyte,Gobyte,40:27.7,GBX
1794,flixxo,Flixxo,40:27.7,FLIXX
1795,oraclechain,Oraclechain,40:27.7,OCT
1796,mysterium,Mysterium,40:27.7,MYST
1797,artbyte,Artbyte,40:27.7,ABY
1798,waves-community-token,Waves Community Token,40:27.7,WCT
1799,gambit,Gambit,40:27.7,GAM
1800,xaurum,Xaurum,40:27.7,XAUR
1801,stealthcoin,Stealthcoin,40:27.7,XST
1802,pirl,Pirl,40:27.7,PIRL
1803,publica,Publica,40:27.7,PBL
1804,payfair,Payfair,40:27.7,PFR
1805,bulwark,Bulwark,40:27.7,BWK
1806,bitqy,Bitqy,40:27.7,BQ
1807,bitsend,Bitsend,40:27.7,BSD
1808,dao-casino,Dao Casino,40:27.7,BET
1809,neutron,Neutron,40:27.7,NTRN
1810,aventus,Aventus,40:27.7,AVT
1811,sequence,Sequence,40:27.7,SEQ
1812,autonio,Autonio,40:27.7,NIO
1813,leocoin,Leocoin,40:27.7,LEO
1814,bitusd,Bitusd,40:27.7,BITUSD
1815,chronobank,Chronobank,40:27.7,TIME
1816,mercury-protocol,Mercury Protocol,40:27.7,GMT
1817,polybius,Polybius,40:27.7,PLBT
1818,lockchain,Lockchain,40:27.7,LOC
1819,oxycoin,Oxycoin,40:27.7,OXY
1820,e-coin,E Coin,40:27.7,ECN
1821,quantum,Quantum,40:27.7,QAU
1822,primas,Primas,40:27.7,PST
1823,upfiring,Upfiring,40:27.7,UFR
1824,zoin,Zoin,40:27.7,ZOI
1825,espers,Espers,40:27.7,ESP
1826,solaris,Solaris,40:27.7,XLR
1827,boolberry,Boolberry,40:27.7,BBR
1828,unobtanium,Unobtanium,40:27.7,UNO
1829,qunqun,Qunqun,40:27.7,QUN
1830,atlant,Atlant,40:27.7,ATL
1831,vcash,Vcash,40:27.7,XVC
1832,social-send,Social Send,40:27.7,SEND
1833,primecoin,Primecoin,40:27.7,XPM
1834,atmos,Atmos,40:27.7,ATMS
1835,geocoin,Geocoin,40:27.7,GEO
1836,bitdice,Bitdice,40:27.7,CSNO
1837,audiocoin,Audiocoin,40:27.7,ADC
1838,earthcoin,Earthcoin,40:27.7,EAC
1839,russian-mining-coin,Russian Mining Coin,40:27.7,RMC
1840,obits,Obits,40:27.7,OBITS
1841,pinkcoin,Pinkcoin,40:27.7,PINK
1842,mywish,Mywish,40:27.7,WISH
1843,hush,Hush,40:27.7,HUSH
1844,bitdeal,Bitdeal,40:27.7,BDL
1845,ecobit,Ecobit,40:27.7,ECOB
1846,firstcoin,Firstcoin,40:27.7,FRST
1847,adshares,Adshares,40:27.7,ADST
1848,cvcoin,Cvcoin,40:27.7,CVCOIN
1849,sumokoin,Sumokoin,40:27.7,SUMO
1850,trezarcoin,Trezarcoin,40:27.7,TZC
1851,magnet,Magnet,40:27.7,MAG
1852,sportyfi,Sportyfi,40:27.7,SPF
1853,vsync-vsx,Vsync Vsx,40:27.7,VSX
1854,sphere,Sphere,40:27.7,SPHR
1855,bitmark,Bitmark,40:27.7,BTM
1856,pluton,Pluton,40:27.7,PLU
1857,opus,Opus,40:27.7,OPT
1858,etheroll,Etheroll,40:27.7,DICE
1859,spreadcoin,Spreadcoin,40:27.7,SPR
1860,curecoin,Curecoin,40:27.7,CURE
1861,lampix,Lampix,40:27.7,PIX
1862,bonpay,Bonpay,40:27.7,BON
1863,innova,Innova,40:27.7,INN
1864,prochain,Prochain,40:27.7,PRO
1865,qwark,Qwark,40:27.7,QWARK
1866,creditbit,Creditbit,40:27.7,CRB
1867,russiacoin,Russiacoin,40:27.7,RC
1868,riecoin,Riecoin,40:27.7,RIC
1869,exchange-union,Exchange Union,40:27.7,XUC
1870,real-estate-tokens,Real Estate Tokens,40:27.7,REX
1871,herocoin,Herocoin,40:27.7,PLAY
1872,bitzeny,Bitzeny,40:27.7,ZNY
1873,transfercoin,Transfercoin,40:27.7,TX
1874,crave,Crave,40:27.7,CRAVE
1875,belacoin,Belacoin,40:27.7,BELA
1876,hacken,Hacken,40:27.7,HKN
1877,hellogold,Hellogold,40:27.7,HGT
1878,cannabiscoin,Cannabiscoin,40:27.7,CANN
1879,sprouts,Sprouts,40:27.7,SPRTS
1880,dopecoin,Dopecoin,40:27.7,DOPE
1881,pesetacoin,Pesetacoin,40:27.7,PTC
1882,memetic,Memetic,40:27.7,MEME
1883,zero,Zero,40:27.7,ZER
